weapon_type,firearm_caliber,weapon_description,trr_report_id
HANDS/FISTS,,,96454
FEET,,,96477
HANDS/FISTS,,,96477
OTHER (SPECIFY),,SHOVED,96477
VERBAL THREAT (ASSAULT),,,96477
HANDS/FISTS,,,96478
FEET,,,96479
HANDS/FISTS,,,96479
VERBAL THREAT (ASSAULT),,,96479
HANDS/FISTS,,,96480
FEET,,,96489
HANDS/FISTS,,,96492
FEET,,,96496
HANDS/FISTS,,,96496
"MOUTH (SPIT,BITE,ETC)",,,96498
"MOUTH (SPIT,BITE,ETC)",,,96499
OTHER (SPECIFY),,OBTAINED TASER,96500
OTHER (SPECIFY),,TASER,96500
OTHER (SPECIFY),,TASER,96501
OTHER (SPECIFY),,TAZER,96502
VERBAL THREAT (ASSAULT),,,96502
HANDS/FISTS,,,96504
FIREARM - SEMI-AUTOMATIC, 9 MM,,96506
OTHER (SPECIFY),,HEAD BUTT,96509
"MOUTH (SPIT,BITE,ETC)",,,96510
OTHER (SPECIFY),,HEAD BUTT,96510
VERBAL THREAT (ASSAULT),,,96510
HANDS/FISTS,,,96512
VERBAL THREAT (ASSAULT),,,96512
HANDS/FISTS,,,96514
VERBAL THREAT (ASSAULT),,,96514
FEET,,,96522
"MOUTH (SPIT,BITE,ETC)",,,96522
HANDS/FISTS,,,96523
OTHER (SPECIFY),,MADE AN AGRESSIVE ADVANCE AT PO,96524
VERBAL THREAT (ASSAULT),,,96524
KNIFE/OTHER CUTTING INSTRUMENT,,FORK,96530
FEET,,,96531
HANDS/FISTS,,,96531
FEET,,,96532
HANDS/FISTS,,,96532
OTHER (SPECIFY),,FORK,96532
OTHER (SPECIFY),,METAL 3 PRONG FORK,96533
FIREARM - SEMI-AUTOMATIC, 9 MM,,96537
"MOUTH (SPIT,BITE,ETC)",,,96540
FIREARM - REVOLVER,357 MAG,1 BLUE STEEL 4 INCH BARREL RUGER SECURITY SIX .357 MAGNUM,96546
HANDS/FISTS,,,96548
VERBAL THREAT (ASSAULT),,,96548
"MOUTH (SPIT,BITE,ETC)",,,96549
FEET,,,96558
HANDS/FISTS,,,96558
"MOUTH (SPIT,BITE,ETC)",,,96558
VERBAL THREAT (ASSAULT),,,96558
FEET,,,96561
HANDS/FISTS,,,96561
"MOUTH (SPIT,BITE,ETC)",,,96561
VERBAL THREAT (ASSAULT),,,96561
HANDS/FISTS,,,96564
VERBAL THREAT (ASSAULT),,,96573
HANDS/FISTS,,,96574
VERBAL THREAT (ASSAULT),,,96574
FEET,,,96576
HANDS/FISTS,,,96576
FEET,,,96577
HANDS/FISTS,,,96577
OTHER (SPECIFY),,RAISED GLASS BOTTLE,96578
OTHER (SPECIFY),,GLASS BOTTLE AND TABLET,96579
HANDS/FISTS,,,96580
OTHER (SPECIFY),,GLASS BOTTLE AND TABLET,96580
HANDS/FISTS,,,96581
OTHER (SPECIFY),,GLASS BOTTLE,96581
OTHER (SPECIFY),,RAISED GLASS BOTTLE,96581
HANDS/FISTS,,,96585
"MOUTH (SPIT,BITE,ETC)",,,96586
OTHER (SPECIFY),,HEADBUTT,96586
VERBAL THREAT (ASSAULT),,,96586
HANDS/FISTS,,,96588
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96589
HANDS/FISTS,,,96590
FIREARM - SEMI-AUTOMATIC,UNKNOWN,,96592
HANDS/FISTS,,,96594
KNIFE/OTHER CUTTING INSTRUMENT,,,96595
KNIFE/OTHER CUTTING INSTRUMENT,,,96596
OTHER (SPECIFY),,KNIFE,96596
FEET,,,96602
HANDS/FISTS,,,96602
OTHER (SPECIFY),,GARDEN TOOL BLACK HANDLE WITH THREE SHARP BLADES ,96608
