weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96453
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,96465
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96475
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96483
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96525
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96558
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96565
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,96576
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96576
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96591
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96596
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96608
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96618
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96634
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96644
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96656
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96673
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96687
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96692
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96722
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96727
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96729
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96740
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96759
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96759
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96760
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96772
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96773
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96785
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96794
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96806
OTHER (SPECIFY),,,,,,,,,,,,,,,,,96806
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96830
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96846
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4, 9 MM,3,No,3,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,96849
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96857
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96861
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96881
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96882
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96889
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96894
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.6,45 CAL,5,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,WOODEN FENCE,05-10FT,PERSON,OTHER (SPECIFY),96895
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,30,4,45 CAL,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DISTANCE,0-5FT,UNKNOWN,STANDING,96919
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96934
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96935
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96936
RIFLE,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P 4,16,223/5.56,4,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96944
RIFLE,GWINN FIREARMS  --US--  (BUSHMASTER),,XM15,14.5,223/5.56,10,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96948
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96954
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96955
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96962
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96977
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96980
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96981
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96988
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97005
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97023
OTHER (SPECIFY),,,,,,,,,,,,,,,,,97035
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97047
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97048
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,N/A,false,DUTY HOLSTER,10-15FT,OBJECT,STANDING,97082
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97143
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97155
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97171
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97172
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97178
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97187
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97188
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97193
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97218
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97228
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97268
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97279
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97280
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97289
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97298
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97300
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97308
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97309
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97310
OTHER (SPECIFY),,,,,,,,,,,,,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97311
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97329
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97335
OTHER (SPECIFY),,,,,,,,,,,,,,,,,97338
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97339
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97348
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97355
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97358
SEMI-AUTO PISTOL,"F.I. INDUSTRIES(FORMERLY) --US-- (BERETTA USA CORP,BRONCO)",,PX4 STORM,4, 9 MM,12,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DEPARTMENT VEHICLE,OVER 15FT,BOTH,STANDING,97371
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97372
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97378
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97390
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97402
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4 INCH, 9 MM,1,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,false,NONE,05-10FT,PERSON,STANDING,97444
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97455
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97512
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97517
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97517
