group,variable,value
Operation/Personnel Violations,1527,825
Use Of Force,1527,649
Illegal Search,1527,204
Verbal Abuse,1527,195
Traffic,1527,186
Conduct Unbecoming (Off-Duty),1527,115
Lockup Procedures,1527,85
Domestic,1527,77
Criminal Misconduct,1527,48
Supervisory Responsibilities,1527,42
False Arrest,1527,35
Bribery / Official Corruption,1527,19
Drug / Alcohol Abuse,1527,19
First Amendment,1527,1
Excessive Force,1527,1
Money / Property,1527,1
Operation/Personnel Violations,1528,791
Use Of Force,1528,684
Verbal Abuse,1528,228
Illegal Search,1528,205
Traffic,1528,154
Lockup Procedures,1528,130
Conduct Unbecoming (Off-Duty),1528,64
Domestic,1528,52
Criminal Misconduct,1528,49
False Arrest,1528,44
Supervisory Responsibilities,1528,42
Drug / Alcohol Abuse,1528,14
Bribery / Official Corruption,1528,9
Money / Property,1528,1
Operation/Personnel Violations,1529,1
Drug / Alcohol Abuse,1529,1
Use Of Force,1530,15
Operation/Personnel Violations,1530,14
Conduct Unbecoming (Off-Duty),1530,7
Traffic,1530,6
Criminal Misconduct,1530,5
Domestic,1530,4
Verbal Abuse,1530,3
Drug / Alcohol Abuse,1530,3
Illegal Search,1530,3
Lockup Procedures,1530,1
False Arrest,1530,1
Operation/Personnel Violations,1531,1901
Use Of Force,1531,1538
Verbal Abuse,1531,596
Traffic,1531,438
Illegal Search,1531,420
Lockup Procedures,1531,292
Conduct Unbecoming (Off-Duty),1531,155
Domestic,1531,155
False Arrest,1531,106
Criminal Misconduct,1531,94
Supervisory Responsibilities,1531,78
Drug / Alcohol Abuse,1531,37
Bribery / Official Corruption,1531,30
Unknown,1531,3
Money / Property,1531,1
First Amendment,1531,1
Medical,1531,1
Operation/Personnel Violations,1532,1558
Use Of Force,1532,1351
Illegal Search,1532,483
Verbal Abuse,1532,365
Lockup Procedures,1532,335
Traffic,1532,236
False Arrest,1532,145
Conduct Unbecoming (Off-Duty),1532,136
Domestic,1532,121
Criminal Misconduct,1532,114
Supervisory Responsibilities,1532,54
Bribery / Official Corruption,1532,22
Drug / Alcohol Abuse,1532,19
Excessive Force,1532,1
First Amendment,1532,1
Unknown,1532,1
Racial Profiling,1532,1
Use Of Force,1533,1331
Operation/Personnel Violations,1533,1285
Verbal Abuse,1533,345
Illegal Search,1533,289
Traffic,1533,244
Lockup Procedures,1533,193
Domestic,1533,105
Conduct Unbecoming (Off-Duty),1533,105
Criminal Misconduct,1533,90
False Arrest,1533,74
Supervisory Responsibilities,1533,47
Drug / Alcohol Abuse,1533,23
Bribery / Official Corruption,1533,22
Unknown,1533,1
Operation/Personnel Violations,1534,2166
Use Of Force,1534,2069
Illegal Search,1534,862
Verbal Abuse,1534,517
Lockup Procedures,1534,406
Traffic,1534,313
False Arrest,1534,253
Domestic,1534,165
Conduct Unbecoming (Off-Duty),1534,104
Criminal Misconduct,1534,92
Supervisory Responsibilities,1534,82
Drug / Alcohol Abuse,1534,18
Bribery / Official Corruption,1534,15
Racial Profiling,1534,6
Money / Property,1534,3
Excessive Force,1534,2
First Amendment,1534,2
Unknown,1534,2
Medical,1534,1
Operation/Personnel Violations,1535,1826
Use Of Force,1535,1285
Illegal Search,1535,497
Verbal Abuse,1535,359
Traffic,1535,273
Lockup Procedures,1535,260
False Arrest,1535,175
Conduct Unbecoming (Off-Duty),1535,158
Domestic,1535,131
Criminal Misconduct,1535,96
Supervisory Responsibilities,1535,84
Drug / Alcohol Abuse,1535,21
Bribery / Official Corruption,1535,18
Racial Profiling,1535,3
Excessive Force,1535,3
First Amendment,1535,2
Money / Property,1535,1
Operation/Personnel Violations,1536,2178
Use Of Force,1536,1519
Illegal Search,1536,584
Verbal Abuse,1536,455
Traffic,1536,328
Lockup Procedures,1536,272
Conduct Unbecoming (Off-Duty),1536,228
False Arrest,1536,182
Domestic,1536,174
Criminal Misconduct,1536,110
Supervisory Responsibilities,1536,80
Drug / Alcohol Abuse,1536,25
Bribery / Official Corruption,1536,15
Money / Property,1536,5
Unknown,1536,4
First Amendment,1536,2
Excessive Force,1536,1
Racial Profiling,1536,1
Operation/Personnel Violations,1537,2063
Use Of Force,1537,1558
Illegal Search,1537,605
Verbal Abuse,1537,420
Lockup Procedures,1537,327
Traffic,1537,295
Conduct Unbecoming (Off-Duty),1537,223
False Arrest,1537,197
Domestic,1537,180
Criminal Misconduct,1537,99
Supervisory Responsibilities,1537,62
Drug / Alcohol Abuse,1537,31
Bribery / Official Corruption,1537,19
Racial Profiling,1537,3
First Amendment,1537,1
Money / Property,1537,1
Unknown,1537,1
Use Of Force,1538,1
Operation/Personnel Violations,1538,1
Operation/Personnel Violations,1539,1347
Use Of Force,1539,778
Illegal Search,1539,388
Conduct Unbecoming (Off-Duty),1539,263
Verbal Abuse,1539,253
Traffic,1539,214
Domestic,1539,177
Lockup Procedures,1539,130
False Arrest,1539,114
Criminal Misconduct,1539,100
Supervisory Responsibilities,1539,48
Drug / Alcohol Abuse,1539,34
Bribery / Official Corruption,1539,10
Money / Property,1539,2
Unknown,1539,1
Medical,1539,1
First Amendment,1539,1
