group,Operation/Personnel Violations,Use Of Force,Verbal Abuse,Illegal Search,Traffic,Drug / Alcohol Abuse,Lockup Procedures,Conduct Unbecoming (Off-Duty),Domestic,Criminal Misconduct,False Arrest,Supervisory Responsibilities,Bribery / Official Corruption,Unknown,First Amendment,Racial Profiling,Medical,Excessive Force,Money / Property
1527,42,39,10,13,3,2,8,2,6,0,12,0,0,0,0,0,0,0,0
1528,57,45,10,37,4,6,0,4,6,0,15,0,0,0,0,0,0,0,0
1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,131,234,53,65,20,0,38,9,27,0,46,4,6,0,0,0,0,0,0
1532,168,245,41,99,33,0,59,10,26,0,76,2,6,0,0,0,0,2,0
1533,67,105,11,35,12,2,14,3,9,6,24,2,0,0,0,0,0,0,0
1534,531,843,99,331,71,3,153,16,92,5,189,12,9,4,0,2,2,2,3
1535,526,595,66,255,68,5,124,16,77,2,142,18,4,0,4,4,0,3,2
1536,519,593,69,210,47,2,94,18,68,2,120,5,3,0,2,2,0,0,9
1537,561,901,95,361,86,9,132,46,101,8,149,14,11,0,0,5,0,0,2
1538,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,348,326,64,159,37,13,51,35,96,1,81,10,5,0,0,0,0,0,4
1540,542,603,47,208,50,4,126,46,64,6,121,11,6,1,0,2,0,1,6
1541,98,207,40,96,20,3,29,4,28,1,45,2,7,0,0,0,2,0,2
1542,41,32,12,25,9,2,6,12,5,0,15,0,0,0,0,0,0,0,0
1543,268,450,77,151,52,2,60,26,58,4,98,15,0,0,0,2,0,0,2
1544,198,315,77,56,23,0,55,21,36,0,64,0,2,0,0,2,0,0,0
1545,242,237,40,51,20,11,26,37,24,1,52,4,1,0,2,1,0,0,0
1546,506,768,73,299,67,2,144,15,35,7,239,7,14,0,0,0,0,0,8
1547,290,487,69,167,28,0,71,21,44,2,178,7,12,2,0,0,0,0,10
1548,186,308,28,112,28,0,76,7,21,5,86,3,15,0,0,2,0,0,2
1549,350,259,45,75,43,8,61,50,63,13,61,3,14,4,0,0,4,2,4
1550,230,385,56,116,23,0,47,10,24,6,75,1,3,0,0,6,0,0,5
1551,610,497,64,176,41,78,92,35,61,15,110,18,13,6,0,0,0,0,0
