race,count,area_id,district_name
Native American,321,1527,17th (Albany Park)
Native American,223,1528,20th (Lincoln)
Native American,112,1539,22nd (Morgan Park)
Native American,118,1540,5th (Calumet)
Native American,351,1541,24th (Rogers Park)
Native American,299,1542,16th (Jefferson Park)
Native American,247,1543,8th (Chicago Lawn)
Native American,108,1544,18th (Near North)
Native American,185,1545,12th (Near West)
Native American,73,1546,11th (Harrison)
Native American,169,1535,3rd (Grand Crossing)
Native American,308,1531,19th (Town Hall)
Native American,214,1532,25th (Grand Central)
Native American,189,1533,14th (Shakespeare)
Native American,223,1536,4th (South Chicago)
Native American,164,1537,6th (Gresham)
Native American,144,1548,10th (Ogden)
Native American,95,1549,1st (Central)
Native American,173,1550,9th (Deering)
Native American,138,1551,2nd (Wentworth)
Native American,136,1534,7th (Englewood)
Native American,107,1547,15th (Austin)
White,55743,1527,17th (Albany Park)
White,49420,1528,20th (Lincoln)
White,34863,1539,22nd (Morgan Park)
White,843,1540,5th (Calumet)
White,60488,1541,24th (Rogers Park)
White,138045,1542,16th (Jefferson Park)
White,51491,1543,8th (Chicago Lawn)
White,88418,1544,18th (Near North)
White,51775,1545,12th (Near West)
White,1664,1546,11th (Harrison)
White,1472,1535,3rd (Grand Crossing)
White,150551,1531,19th (Town Hall)
White,29371,1532,25th (Grand Central)
White,49809,1533,14th (Shakespeare)
White,9925,1536,4th (South Chicago)
White,312,1537,6th (Gresham)
White,4300,1548,10th (Ogden)
White,32952,1549,1st (Central)
White,24307,1550,9th (Deering)
White,17747,1551,2nd (Wentworth)
White,262,1534,7th (Englewood)
White,959,1547,15th (Austin)
Asian,17373,1527,17th (Albany Park)
Asian,12792,1528,20th (Lincoln)
Asian,352,1539,22nd (Morgan Park)
Asian,38,1540,5th (Calumet)
Asian,20796,1541,24th (Rogers Park)
Asian,10711,1542,16th (Jefferson Park)
Asian,2001,1543,8th (Chicago Lawn)
Asian,9775,1544,18th (Near North)
Asian,8148,1545,12th (Near West)
Asian,329,1546,11th (Harrison)
Asian,312,1535,3rd (Grand Crossing)
Asian,12277,1531,19th (Town Hall)
Asian,3086,1532,25th (Grand Central)
Asian,3604,1533,14th (Shakespeare)
Asian,258,1536,4th (South Chicago)
Asian,61,1537,6th (Gresham)
Asian,239,1548,10th (Ogden)
Asian,10790,1549,1st (Central)
Asian,25894,1550,9th (Deering)
Asian,5837,1551,2nd (Wentworth)
Asian,56,1534,7th (Englewood)
Asian,174,1547,15th (Austin)
Other,3645,1527,17th (Albany Park)
Other,2416,1528,20th (Lincoln)
Other,1202,1539,22nd (Morgan Park)
Other,809,1540,5th (Calumet)
Other,4335,1541,24th (Rogers Park)
Other,2967,1542,16th (Jefferson Park)
Other,1561,1543,8th (Chicago Lawn)
Other,2253,1544,18th (Near North)
Other,2393,1545,12th (Near West)
Other,619,1546,11th (Harrison)
Other,1149,1535,3rd (Grand Crossing)
Other,4320,1531,19th (Town Hall)
Other,1682,1532,25th (Grand Central)
Other,2070,1533,14th (Shakespeare)
Other,1389,1536,4th (South Chicago)
Other,865,1537,6th (Gresham)
Other,529,1548,10th (Ogden)
Other,1726,1549,1st (Central)
Other,1173,1550,9th (Deering)
Other,2482,1551,2nd (Wentworth)
Other,663,1534,7th (Englewood)
Other,485,1547,15th (Austin)
Black,4782,1527,17th (Albany Park)
Black,9909,1528,20th (Lincoln)
Black,62094,1539,22nd (Morgan Park)
Black,70064,1540,5th (Calumet)
Black,25322,1541,24th (Rogers Park)
Black,2022,1542,16th (Jefferson Park)
Black,52219,1543,8th (Chicago Lawn)
Black,10681,1544,18th (Near North)
Black,23039,1545,12th (Near West)
Black,59671,1546,11th (Harrison)
Black,71010,1535,3rd (Grand Crossing)
Black,13305,1531,19th (Town Hall)
Black,33033,1532,25th (Grand Central)
Black,8027,1533,14th (Shakespeare)
Black,76399,1536,4th (South Chicago)
Black,88525,1537,6th (Gresham)
Black,39440,1548,10th (Ogden)
Black,13452,1549,1st (Central)
Black,19044,1550,9th (Deering)
Black,65993,1551,2nd (Wentworth)
Black,68787,1534,7th (Englewood)
Black,55468,1547,15th (Austin)
Hispanic,62232,1527,17th (Albany Park)
Hispanic,16519,1528,20th (Lincoln)
Hispanic,3318,1539,22nd (Morgan Park)
Hispanic,2524,1540,5th (Calumet)
Hispanic,29746,1541,24th (Rogers Park)
Hispanic,45438,1542,16th (Jefferson Park)
Hispanic,139854,1543,8th (Chicago Lawn)
Hispanic,5806,1544,18th (Near North)
Hispanic,42329,1545,12th (Near West)
Hispanic,8118,1546,11th (Harrison)
Hispanic,1123,1535,3rd (Grand Crossing)
Hispanic,20025,1531,19th (Town Hall)
Hispanic,133005,1532,25th (Grand Central)
Hispanic,54039,1533,14th (Shakespeare)
Hispanic,35381,1536,4th (South Chicago)
Hispanic,914,1537,6th (Gresham)
Hispanic,73441,1548,10th (Ogden)
Hispanic,3766,1549,1st (Central)
Hispanic,94610,1550,9th (Deering)
Hispanic,3242,1551,2nd (Wentworth)
Hispanic,1167,1534,7th (Englewood)
Hispanic,2265,1547,15th (Austin)
